Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Walgreens,1006,2024-03-05,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola Classic 33cl,2.32,218,505.76,149.91,29.64
Walgreens,1006,2024-03-05,South,Georgia,Atlanta,Powerade,Powerade Blue 50cl,1.93,422,814.46,326.44,40.08
Walmart,1001,2024-03-05,Midwest,Michigan,Detroit,Diet Coke,Diet Coke 1.5L,2.18,126,274.68,78.7,28.65
CVS,1005,2024-03-05,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 33cl,3.14,239,750.46,222.89,29.7
Walmart,1001,2024-03-05,Midwest,Michigan,Detroit,Coca-Cola Zero Sugar,Coke Zero 33cl,1.46,595,868.7,196.07,22.57
Walgreens,1006,2024-03-05,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 1.5L,0.94,304,285.76,76.58,26.8
Kroger,1003,2024-03-05,Southeast,North Carolina,Charlotte,Coca-Cola,Coca-Cola 2L,1.25,234,292.5,83.68,28.61
Costco,1004,2024-03-05,Midwest,Illinois,Chicago,Dasani Water,Dasani 50cl,1.02,607,619.14,254.47,41.1
Walgreens,1006,2024-03-05,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 50cl,2.68,492,1318.56,358.12,27.16
Costco,1004,2024-03-05,West,Washington,Seattle,Sprite,Sprite 33cl,1.96,206,403.76,105.79,26.2
CVS,1005,2024-03-05,Northeast,Pennsylvania,Philadelphia,Diet Coke,Diet Coke 33cl,1.07,101,108.07,30.43,28.16
Kroger,1003,2024-03-05,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,1.14,225,256.5,91.08,35.51
Walmart,1001,2024-03-05,Southeast,Virginia,Richmond,Dasani Water,Dasani 1L,2.35,325,763.75,195.52,25.6
Target,1002,2024-03-06,South,Texas,Houston,Powerade,Powerade Red 50cl,2.52,496,1249.92,277.86,22.23
CVS,1005,2024-03-06,South,Texas,Houston,Powerade,Powerade Red 50cl,3.34,292,975.28,245.77,25.2
Walmart,1001,2024-03-06,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola 2L,0.88,195,171.6,67.88,39.56
Target,1002,2024-03-06,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 1.5L,2.91,159,462.69,108.87,23.53
Costco,1004,2024-03-06,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 33cl,3.39,157,532.23,194.1,36.47
Walgreens,1006,2024-03-06,Midwest,Illinois,Chicago,Sprite,Sprite 33cl,1.15,209,240.35,55.93,23.27
Costco,1004,2024-03-06,South,Florida,Miami,Coca-Cola,Coca-Cola Classic 33cl,1.08,287,309.96,80.78,26.06
CVS,1005,2024-03-06,Northeast,New York,New York City,Powerade,Powerade Red 50cl,1.86,94,174.84,50.65,28.97
Costco,1004,2024-03-06,Northeast,New York,New York City,Dasani Water,Dasani 1L,2.42,324,784.08,274.98,35.07
CVS,1005,2024-03-07,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Blue 50cl,1.56,458,714.48,265.64,37.18
CVS,1005,2024-03-07,Southeast,Virginia,Richmond,Sprite,Sprite 33cl,2.92,394,1150.48,440.06,38.25
CVS,1005,2024-03-07,Midwest,Michigan,Detroit,Powerade,Powerade Red 50cl,2.09,439,917.51,249.47,27.19
Walgreens,1006,2024-03-07,West,Arizona,Phoenix,Sprite,Sprite 33cl,2.8,234,655.2,191.19,29.18
CVS,1005,2024-03-07,West,Washington,Seattle,Coca-Cola,Coca-Cola 1.5L,1.67,524,875.08,207.74,23.74
Kroger,1003,2024-03-07,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola Classic 33cl,2.55,397,1012.35,264.12,26.09
Kroger,1003,2024-03-07,Southeast,Tennessee,Nashville,Powerade,Powerade Blue 50cl,3.21,393,1261.53,325.1,25.77
Walgreens,1006,2024-03-07,Northeast,Massachusetts,Boston,Dasani Water,Dasani 50cl,2.75,59,162.25,62.71,38.65
Target,1002,2024-03-07,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,2.98,165,491.7,144.61,29.41
CVS,1005,2024-03-07,Midwest,Ohio,Columbus,Powerade,Powerade Red 50cl,2.96,774,2291.04,773.68,33.77
Walmart,1001,2024-03-07,Midwest,Michigan,Detroit,Sprite,Sprite 1.5L,1.6,286,457.6,93.35,20.4
Walmart,1001,2024-03-07,Northeast,New York,New York City,Sprite,Sprite 33cl,2.35,388,911.8,352.59,38.67
Walmart,1001,2024-03-07,West,California,Los Angeles,Sprite,Sprite 33cl,1.38,371,511.98,126.77,24.76
Walgreens,1006,2024-03-08,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 33cl,1.73,375,648.75,135.46,20.88
Target,1002,2024-03-08,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.03,591,1790.73,361.73,20.2
Walgreens,1006,2024-03-08,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola 1.5L,2.96,355,1050.8,247.46,23.55
CVS,1005,2024-03-08,Northeast,New York,New York City,Sprite,Sprite 33cl,0.88,413,363.44,120.15,33.06
Walgreens,1006,2024-03-08,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,1.49,79,117.71,43.62,37.06
CVS,1005,2024-03-08,West,Arizona,Phoenix,Coca-Cola Zero Sugar,Coke Zero 33cl,1.29,536,691.44,195.33,28.25
Kroger,1003,2024-03-08,South,Georgia,Atlanta,Coca-Cola,Coca-Cola Classic 33cl,2.94,187,549.78,211.72,38.51
Target,1002,2024-03-08,Southeast,Virginia,Richmond,Powerade,Powerade Blue 50cl,2.77,56,155.12,64.41,41.52
Walgreens,1006,2024-03-08,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,1.64,230,377.2,156.84,41.58
Kroger,1003,2024-03-09,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,2.39,180,430.2,116.58,27.1
Walmart,1001,2024-03-09,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 1L,1.02,626,638.52,239.76,37.55
Target,1002,2024-03-09,Northeast,Massachusetts,Boston,Sprite,Sprite 33cl,2.98,150,447.0,181.17,40.53
Kroger,1003,2024-03-09,Southeast,Virginia,Richmond,Sprite,Sprite 1.5L,3.29,121,398.09,84.0,21.1
Kroger,1003,2024-03-09,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,2.61,713,1860.93,551.58,29.64
CVS,1005,2024-03-09,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Red 50cl,1.33,209,277.97,82.47,29.67
CVS,1005,2024-03-09,West,Washington,Seattle,Diet Coke,Diet Coke 33cl,1.97,193,380.21,91.4,24.04
Walgreens,1006,2024-03-10,West,Arizona,Phoenix,Coca-Cola,Coca-Cola Classic 33cl,3.3,519,1712.7,577.86,33.74
Walmart,1001,2024-03-10,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola 1.5L,1.03,272,280.16,99.46,35.5
Walgreens,1006,2024-03-10,Southeast,North Carolina,Charlotte,Powerade,Powerade Red 50cl,3.5,374,1309.0,450.43,34.41
Costco,1004,2024-03-10,Midwest,Illinois,Chicago,Fanta,Fanta Orange 1.5L,1.95,705,1374.75,304.64,22.16
Kroger,1003,2024-03-10,South,Florida,Miami,Diet Coke,Diet Coke 33cl,1.77,616,1090.32,438.74,40.24
Target,1002,2024-03-10,South,Florida,Miami,Fanta,Fanta Orange 1.5L,2.89,364,1051.96,422.99,40.21
Kroger,1003,2024-03-11,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.11,443,1377.73,447.07,32.45
Target,1002,2024-03-11,West,Arizona,Phoenix,Powerade,Powerade Blue 50cl,2.59,403,1043.77,416.57,39.91
Costco,1004,2024-03-11,West,California,Los Angeles,Diet Coke,Diet Coke 33cl,3.48,256,890.88,355.1,39.86
Costco,1004,2024-03-11,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,1.23,672,826.56,205.07,24.81
Walmart,1001,2024-03-11,South,Georgia,Atlanta,Powerade,Powerade Blue 50cl,2.51,328,823.28,265.84,32.29
Walgreens,1006,2024-03-11,South,Florida,Miami,Powerade,Powerade Blue 50cl,0.99,461,456.39,170.69,37.4
Kroger,1003,2024-03-11,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 33cl,0.87,81,70.47,25.83,36.65
Walgreens,1006,2024-03-11,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 33cl,2.57,237,609.09,210.56,34.57
Walmart,1001,2024-03-12,Midwest,Michigan,Detroit,Sprite,Sprite 1.5L,3.13,316,989.08,402.36,40.68
Costco,1004,2024-03-12,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 33cl,2.85,166,473.1,146.66,31.0
Kroger,1003,2024-03-12,Northeast,New York,New York City,Fanta,Fanta Orange 33cl,1.46,509,743.14,214.25,28.83
CVS,1005,2024-03-12,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 1.5L,1.08,295,318.6,86.09,27.02
Walmart,1001,2024-03-12,West,Washington,Seattle,Dasani Water,Dasani 50cl,1.32,341,450.12,170.42,37.86
Walmart,1001,2024-03-12,West,Washington,Seattle,Diet Coke,Diet Coke 1.5L,2.66,415,1103.9,334.15,30.27
CVS,1005,2024-03-12,Southeast,North Carolina,Charlotte,Sprite,Sprite 33cl,1.68,407,683.76,284.51,41.61
Target,1002,2024-03-12,Southeast,North Carolina,Charlotte,Sprite,Sprite 33cl,2.18,99,215.82,66.21,30.68
Kroger,1003,2024-03-12,Northeast,Massachusetts,Boston,Dasani Water,Dasani 1L,2.04,169,344.76,107.32,31.13
CVS,1005,2024-03-12,South,Georgia,Atlanta,Sprite,Sprite 33cl,2.36,363,856.68,305.41,35.65
Walgreens,1006,2024-03-13,South,Georgia,Atlanta,Dasani Water,Dasani 50cl,1.21,161,194.81,56.01,28.75
Walgreens,1006,2024-03-13,Southeast,Tennessee,Nashville,Powerade,Powerade Blue 50cl,2.11,678,1430.58,488.69,34.16
Costco,1004,2024-03-13,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 33cl,2.31,160,369.6,96.06,25.99
Target,1002,2024-03-13,Northeast,Massachusetts,Boston,Sprite,Sprite 33cl,2.55,415,1058.25,213.03,20.13
Costco,1004,2024-03-13,Midwest,Michigan,Detroit,Fanta,Fanta Orange 1.5L,3.28,385,1262.8,435.41,34.48
Walgreens,1006,2024-03-13,West,Washington,Seattle,Powerade,Powerade Blue 50cl,1.15,541,622.15,206.62,33.21
Walmart,1001,2024-03-13,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,2.39,314,750.46,223.56,29.79
Target,1002,2024-03-13,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,2.67,655,1748.85,379.15,21.68
Costco,1004,2024-03-13,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola Classic 33cl,1.66,176,292.16,60.89,20.84
CVS,1005,2024-03-13,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 33cl,2.51,111,278.61,116.68,41.88
CVS,1005,2024-03-13,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 1.5L,1.14,70,79.8,29.06,36.42
CVS,1005,2024-03-13,Southeast,Virginia,Richmond,Sprite,Sprite 33cl,2.82,182,513.24,152.38,29.69
Walmart,1001,2024-03-13,West,Washington,Seattle,Diet Coke,Diet Coke 1.5L,1.61,514,827.54,328.04,39.64
Walgreens,1006,2024-03-13,South,Georgia,Atlanta,Diet Coke,Diet Coke 1.5L,2.1,475,997.5,324.39,32.52
CVS,1005,2024-03-13,West,California,Los Angeles,Coca-Cola,Coca-Cola Classic 33cl,1.1,487,535.7,128.68,24.02
Costco,1004,2024-03-14,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.65,291,771.15,265.97,34.49
CVS,1005,2024-03-14,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 33cl,1.19,91,108.29,25.86,23.88
CVS,1005,2024-03-14,Northeast,Pennsylvania,Philadelphia,Coca-Cola,Coca-Cola 1.5L,3.3,110,363.0,96.63,26.62
Walgreens,1006,2024-03-14,West,Arizona,Phoenix,Coca-Cola Zero Sugar,Coke Zero 33cl,2.17,98,212.66,87.98,41.37
Kroger,1003,2024-03-14,South,Texas,Houston,Sprite,Sprite 1.5L,2.1,396,831.6,224.53,27.0
Walgreens,1006,2024-03-14,West,Arizona,Phoenix,Diet Coke,Diet Coke 33cl,2.86,224,640.64,150.93,23.56
Kroger,1003,2024-03-14,Midwest,Illinois,Chicago,Sprite,Sprite 1.5L,1.82,220,400.4,141.14,35.25
Costco,1004,2024-03-15,Midwest,Ohio,Columbus,Dasani Water,Dasani 50cl,1.69,380,642.2,266.13,41.44
CVS,1005,2024-03-15,South,Georgia,Atlanta,Dasani Water,Dasani 1L,1.27,571,725.17,216.9,29.91
Walmart,1001,2024-03-15,Midwest,Ohio,Columbus,Powerade,Powerade Red 50cl,3.08,299,920.92,348.2,37.81
Target,1002,2024-03-15,West,Arizona,Phoenix,Fanta,Fanta Orange 33cl,1.0,427,427.0,144.16,33.76
Costco,1004,2024-03-15,Midwest,Michigan,Detroit,Fanta,Fanta Orange 33cl,2.72,552,1501.44,595.02,39.63
CVS,1005,2024-03-15,Midwest,Ohio,Columbus,Powerade,Powerade Blue 50cl,1.85,621,1148.85,429.44,37.38
Target,1002,2024-03-15,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 1.5L,1.49,475,707.75,148.56,20.99
Costco,1004,2024-03-15,Southeast,Virginia,Richmond,Sprite,Sprite 33cl,1.17,220,257.4,106.64,41.43
Kroger,1003,2024-03-15,Northeast,New York,New York City,Coca-Cola,Coca-Cola 1.5L,2.87,436,1251.32,284.55,22.74
Walgreens,1006,2024-03-15,Southeast,Virginia,Richmond,Fanta,Fanta Orange 33cl,3.46,455,1574.3,338.79,21.52
Target,1002,2024-03-15,Midwest,Michigan,Detroit,Diet Coke,Diet Coke 33cl,2.8,155,434.0,139.18,32.07
Target,1002,2024-03-15,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.87,249,465.63,187.7,40.31
Costco,1004,2024-03-15,West,Arizona,Phoenix,Fanta,Fanta Orange 1.5L,2.49,169,420.81,174.51,41.47
Walgreens,1006,2024-03-15,Northeast,Massachusetts,Boston,Powerade,Powerade Red 50cl,1.61,316,508.76,141.99,27.91
Walgreens,1006,2024-03-16,South,Georgia,Atlanta,Sprite,Sprite 33cl,2.46,252,619.92,196.27,31.66
Costco,1004,2024-03-16,West,Arizona,Phoenix,Coca-Cola,Coca-Cola 2L,0.98,427,418.46,124.32,29.71
Costco,1004,2024-03-16,West,Arizona,Phoenix,Coca-Cola Zero Sugar,Coke Zero 33cl,1.09,491,535.19,156.01,29.15
Costco,1004,2024-03-16,Midwest,Ohio,Columbus,Powerade,Powerade Red 50cl,1.44,428,616.32,144.1,23.38
Walgreens,1006,2024-03-16,West,Arizona,Phoenix,Sprite,Sprite 33cl,1.2,339,406.8,170.45,41.9
Walgreens,1006,2024-03-16,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola 2L,3.08,95,292.6,100.36,34.3
Walmart,1001,2024-03-16,Northeast,New York,New York City,Coca-Cola,Coca-Cola Classic 33cl,2.44,218,531.92,193.67,36.41
Costco,1004,2024-03-16,Midwest,Illinois,Chicago,Diet Coke,Diet Coke 1.5L,3.04,475,1444.0,514.93,35.66
Walmart,1001,2024-03-16,West,California,Los Angeles,Coca-Cola,Coca-Cola 1.5L,2.78,452,1256.56,335.38,26.69
Walgreens,1006,2024-03-17,South,Georgia,Atlanta,Dasani Water,Dasani 50cl,2.41,263,633.83,207.52,32.74
Kroger,1003,2024-03-17,South,Texas,Houston,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.08,582,1792.56,407.63,22.74
Walgreens,1006,2024-03-17,Northeast,New York,New York City,Sprite,Sprite 1.5L,3.01,151,454.51,172.9,38.04
Kroger,1003,2024-03-17,Southeast,Virginia,Richmond,Diet Coke,Diet Coke 33cl,3.22,375,1207.5,324.94,26.91
CVS,1005,2024-03-17,Northeast,New York,New York City,Powerade,Powerade Blue 50cl,2.18,202,440.36,99.21,22.53
Target,1002,2024-03-17,South,Florida,Miami,Sprite,Sprite 33cl,0.85,222,188.7,38.85,20.59
Costco,1004,2024-03-17,South,Florida,Miami,Coca-Cola,Coca-Cola Classic 33cl,3.32,48,159.36,63.58,39.9
Target,1002,2024-03-17,South,Texas,Houston,Sprite,Sprite 1.5L,2.36,443,1045.48,434.19,41.53
CVS,1005,2024-03-17,South,Texas,Houston,Coca-Cola,Coca-Cola 2L,2.36,630,1486.8,577.32,38.83
Walgreens,1006,2024-03-17,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 1L,1.15,458,526.7,188.45,35.78
Walgreens,1006,2024-03-17,South,Georgia,Atlanta,Fanta,Fanta Orange 33cl,2.17,139,301.63,68.95,22.86
Walgreens,1006,2024-03-17,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.36,330,778.8,234.57,30.12
Costco,1004,2024-03-17,Midwest,Michigan,Detroit,Fanta,Fanta Orange 33cl,1.42,260,369.2,113.38,30.71
Walmart,1001,2024-03-17,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola 1.5L,1.47,113,166.11,41.93,25.24
Costco,1004,2024-03-18,Midwest,Illinois,Chicago,Diet Coke,Diet Coke 1.5L,1.53,343,524.79,197.79,37.69
Target,1002,2024-03-18,Southeast,Virginia,Richmond,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.63,324,852.12,228.79,26.85
Costco,1004,2024-03-18,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 1.5L,1.25,384,480.0,172.51,35.94
Target,1002,2024-03-18,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 1.5L,2.91,592,1722.72,654.98,38.02
Kroger,1003,2024-03-18,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.75,485,848.75,242.06,28.52
CVS,1005,2024-03-19,Midwest,Michigan,Detroit,Coca-Cola Zero Sugar,Coke Zero 1.5L,0.83,108,89.64,21.67,24.17
Costco,1004,2024-03-19,Midwest,Michigan,Detroit,Sprite,Sprite 33cl,1.24,358,443.92,154.93,34.9
Kroger,1003,2024-03-19,West,Arizona,Phoenix,Sprite,Sprite 1.5L,1.36,474,644.64,133.57,20.72
Walgreens,1006,2024-03-19,Southeast,Tennessee,Nashville,Sprite,Sprite 33cl,2.31,103,237.93,60.89,25.59
Kroger,1003,2024-03-19,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,3.49,179,624.71,154.87,24.79
Walgreens,1006,2024-03-19,Northeast,New York,New York City,Powerade,Powerade Blue 50cl,0.94,607,570.58,135.68,23.78
Walmart,1001,2024-03-19,South,Georgia,Atlanta,Sprite,Sprite 1.5L,1.68,203,341.04,134.44,39.42
Walmart,1001,2024-03-19,Midwest,Michigan,Detroit,Powerade,Powerade Blue 50cl,2.93,88,257.84,88.72,34.41
Kroger,1003,2024-03-19,South,Florida,Miami,Fanta,Fanta Orange 33cl,2.34,523,1223.82,372.04,30.4
Walgreens,1006,2024-03-19,Midwest,Ohio,Columbus,Powerade,Powerade Blue 50cl,1.15,357,410.55,164.88,40.16
Walgreens,1006,2024-03-20,Midwest,Michigan,Detroit,Powerade,Powerade Blue 50cl,2.04,453,924.12,276.4,29.91
Target,1002,2024-03-20,West,Washington,Seattle,Coca-Cola Zero Sugar,Coke Zero 33cl,2.61,517,1349.37,351.11,26.02
Walgreens,1006,2024-03-20,Northeast,New York,New York City,Coca-Cola,Coca-Cola 2L,3.03,264,799.92,246.22,30.78
Costco,1004,2024-03-20,Midwest,Michigan,Detroit,Powerade,Powerade Red 50cl,2.34,487,1139.58,246.26,21.61
Target,1002,2024-03-20,South,Georgia,Atlanta,Sprite,Sprite 1.5L,0.92,458,421.36,114.9,27.27
Kroger,1003,2024-03-21,Midwest,Illinois,Chicago,Fanta,Fanta Orange 33cl,3.37,183,616.71,239.28,38.8
Costco,1004,2024-03-21,Midwest,Illinois,Chicago,Diet Coke,Diet Coke 1.5L,0.97,223,216.31,57.8,26.72
CVS,1005,2024-03-21,Southeast,North Carolina,Charlotte,Sprite,Sprite 33cl,2.03,462,937.86,214.49,22.87
CVS,1005,2024-03-21,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 33cl,2.62,274,717.88,265.11,36.93
Walgreens,1006,2024-03-21,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,3.46,325,1124.5,338.81,30.13
Costco,1004,2024-03-21,South,Georgia,Atlanta,Sprite,Sprite 1.5L,2.48,273,677.04,167.36,24.72
Kroger,1003,2024-03-21,South,Texas,Houston,Coca-Cola,Coca-Cola Classic 33cl,2.95,281,828.95,190.99,23.04
CVS,1005,2024-03-21,Midwest,Illinois,Chicago,Diet Coke,Diet Coke 1.5L,2.4,248,595.2,241.83,40.63
Walmart,1001,2024-03-21,Northeast,Massachusetts,Boston,Powerade,Powerade Red 50cl,0.85,137,116.45,29.56,25.38
Target,1002,2024-03-21,South,Florida,Miami,Coca-Cola Zero Sugar,Coke Zero 33cl,1.43,370,529.1,199.42,37.69
Costco,1004,2024-03-21,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola 2L,2.62,115,301.3,110.79,36.77
Kroger,1003,2024-03-21,West,Washington,Seattle,Fanta,Fanta Orange 33cl,1.57,312,489.84,193.49,39.5
Kroger,1003,2024-03-21,West,California,Los Angeles,Fanta,Fanta Orange 33cl,1.56,147,229.32,83.11,36.24
Kroger,1003,2024-03-22,Northeast,New York,New York City,Sprite,Sprite 33cl,2.64,690,1821.6,678.73,37.26
Costco,1004,2024-03-22,South,Texas,Houston,Diet Coke,Diet Coke 1.5L,3.15,112,352.8,147.68,41.86
Walgreens,1006,2024-03-22,Southeast,North Carolina,Charlotte,Fanta,Fanta Orange 33cl,3.24,249,806.76,220.65,27.35
Kroger,1003,2024-03-22,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,0.96,158,151.68,44.4,29.27
Kroger,1003,2024-03-22,Midwest,Michigan,Detroit,Dasani Water,Dasani 50cl,2.44,379,924.76,191.06,20.66
Target,1002,2024-03-22,West,Washington,Seattle,Powerade,Powerade Red 50cl,1.16,69,80.04,28.36,35.43
Walmart,1001,2024-03-22,West,Arizona,Phoenix,Diet Coke,Diet Coke 1.5L,2.79,378,1054.62,281.58,26.7
Walmart,1001,2024-03-22,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.33,124,164.92,43.6,26.44
Kroger,1003,2024-03-22,Midwest,Ohio,Columbus,Fanta,Fanta Orange 33cl,1.04,213,221.52,48.82,22.04
Walgreens,1006,2024-03-22,South,Florida,Miami,Fanta,Fanta Orange 33cl,0.87,121,105.27,29.05,27.6
Costco,1004,2024-03-22,South,Georgia,Atlanta,Sprite,Sprite 1.5L,2.88,288,829.44,209.43,25.25
Walgreens,1006,2024-03-22,South,Florida,Miami,Fanta,Fanta Orange 33cl,3.08,404,1244.32,480.68,38.63
Target,1002,2024-03-22,Northeast,Pennsylvania,Philadelphia,Sprite,Sprite 1.5L,2.99,211,630.89,199.49,31.62
Costco,1004,2024-03-23,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,2.85,284,809.4,242.66,29.98
Costco,1004,2024-03-23,West,California,Los Angeles,Diet Coke,Diet Coke 1.5L,2.08,364,757.12,292.32,38.61
CVS,1005,2024-03-23,South,Georgia,Atlanta,Coca-Cola,Coca-Cola Classic 33cl,2.35,554,1301.9,263.37,20.23
CVS,1005,2024-03-23,Southeast,Tennessee,Nashville,Fanta,Fanta Orange 33cl,1.8,430,774.0,244.66,31.61
Kroger,1003,2024-03-23,Midwest,Illinois,Chicago,Sprite,Sprite 33cl,3.12,327,1020.24,427.99,41.95
Target,1002,2024-03-23,South,Georgia,Atlanta,Powerade,Powerade Blue 50cl,3.24,402,1302.48,312.6,24.0
CVS,1005,2024-03-23,Midwest,Illinois,Chicago,Dasani Water,Dasani 50cl,2.89,375,1083.75,361.86,33.39
Target,1002,2024-03-23,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 33cl,2.72,116,315.52,119.8,37.97
Walgreens,1006,2024-03-23,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 50cl,2.51,467,1172.17,324.34,27.67
CVS,1005,2024-03-23,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,3.07,233,715.31,253.94,35.5
Walgreens,1006,2024-03-23,Southeast,North Carolina,Charlotte,Powerade,Powerade Red 50cl,1.18,370,436.6,134.87,30.89
Costco,1004,2024-03-23,Midwest,Illinois,Chicago,Sprite,Sprite 33cl,2.79,47,131.13,41.44,31.6
Kroger,1003,2024-03-23,Northeast,New York,New York City,Dasani Water,Dasani 1L,0.89,280,249.2,59.06,23.7
Target,1002,2024-03-23,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 1.5L,3.4,313,1064.2,375.02,35.24
Kroger,1003,2024-03-23,Northeast,Massachusetts,Boston,Fanta,Fanta Orange 1.5L,3.15,453,1426.95,451.77,31.66
Target,1002,2024-03-23,Southeast,Virginia,Richmond,Dasani Water,Dasani 50cl,2.82,78,219.96,45.25,20.57
CVS,1005,2024-03-24,Midwest,Michigan,Detroit,Dasani Water,Dasani 50cl,2.95,421,1241.95,421.27,33.92
CVS,1005,2024-03-24,South,Florida,Miami,Powerade,Powerade Red 50cl,2.07,689,1426.23,496.33,34.8
Walgreens,1006,2024-03-24,West,Arizona,Phoenix,Sprite,Sprite 33cl,2.12,113,239.56,78.02,32.57
Target,1002,2024-03-24,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 1L,2.3,579,1331.7,427.08,32.07
Kroger,1003,2024-03-24,Midwest,Michigan,Detroit,Powerade,Powerade Red 50cl,3.33,472,1571.76,367.16,23.36
Costco,1004,2024-03-25,South,Texas,Houston,Diet Coke,Diet Coke 33cl,1.37,612,838.44,222.19,26.5
CVS,1005,2024-03-25,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,1.45,256,371.2,112.1,30.2
CVS,1005,2024-03-25,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.33,457,1064.81,250.55,23.53
Walgreens,1006,2024-03-25,Midwest,Illinois,Chicago,Sprite,Sprite 1.5L,0.83,218,180.94,58.52,32.34
Walmart,1001,2024-03-25,Southeast,Virginia,Richmond,Fanta,Fanta Orange 1.5L,0.98,639,626.22,134.95,21.55
Kroger,1003,2024-03-25,Northeast,Pennsylvania,Philadelphia,Dasani Water,Dasani 50cl,1.4,522,730.8,186.43,25.51
Walgreens,1006,2024-03-25,South,Georgia,Atlanta,Diet Coke,Diet Coke 1.5L,1.21,76,91.96,32.27,35.09
Costco,1004,2024-03-25,West,Washington,Seattle,Sprite,Sprite 33cl,1.49,623,928.27,371.12,39.98
Walgreens,1006,2024-03-25,South,Florida,Miami,Coca-Cola,Coca-Cola Classic 33cl,2.61,666,1738.26,580.41,33.39
Walgreens,1006,2024-03-25,West,Washington,Seattle,Coca-Cola,Coca-Cola Classic 33cl,2.52,140,352.8,142.28,40.33
Kroger,1003,2024-03-25,West,California,Los Angeles,Dasani Water,Dasani 1L,2.64,334,881.76,367.43,41.67
